protein,ideal_ligand,native_ligand,CNN_pose,CNN_VS,RMSD
1ERE,53-16-7_min,EST_redock_1ERE,0.9894,8.1667,0.6404
1ERE,474-86-2_min,EST_redock_1ERE,0.9836,7.9732,0.7425
1ERE,50-28-2_min,EST_redock_1ERE,0.9824,8.1945,0.5143
1ERE,EST_min,EST_redock_1ERE,0.9824,8.1945,0.5143
1ERE,3601-97-6_min,EST_redock_1ERE,0.9797,7.7177,inf
1ERE,57-91-0_min,EST_redock_1ERE,0.9797,8.0580,0.7362
1ERE,67651-34-7_min,EST_redock_1ERE,0.9767,7.9077,inf
1ERE,53-63-4_min,EST_redock_1ERE,0.9729,7.9678,inf
1ERE,50-27-1_min,EST_redock_1ERE,0.9719,8.1254,0.4968
1ERE,362-05-0_min,EST_redock_1ERE,0.9644,7.6172,0.5648
1ERE,65118-81-2_min,EST_redock_1ERE,0.9627,7.3009,inf
1ERE,2971-36-0_min,EST_redock_1ERE,0.9594,7.7173,inf
1ERE,EE2_min,EST_redock_1ERE,0.9558,8.1882,0.7314
1ERE,57-63-6_min,EST_redock_1ERE,0.9558,8.1882,0.7314
1ERE,decoy78,EST_redock_1ERE,0.9539,7.3021,inf
1ERE,1229-24-9_min,EST_redock_1ERE,0.9523,7.8000,0.5171
1ERE,5976-61-4_min,EST_redock_1ERE,0.9447,7.6033,0.4113
1ERE,140-66-9_min,EST_redock_1ERE,0.9431,6.8294,inf
1ERE,27L_min,EST_redock_1ERE,0.9431,6.8294,inf
1ERE,34816-55-2_min,EST_redock_1ERE,0.9422,7.9483,0.7031
1ERE,5153-25-3_min,EST_redock_1ERE,0.9392,6.9339,inf
1ERE,decoy166,EST_redock_1ERE,0.9392,7.6934,inf
1ERE,53-45-2_min,EST_redock_1ERE,0.9387,6.7291,inf
1ERE,571-20-0_min,EST_redock_1ERE,0.9377,7.7155,0.5558
1ERE,599-64-4_min,EST_redock_1ERE,0.9364,6.5326,inf
1ERE,84-16-2_min,EST_redock_1ERE,0.9335,7.7688,inf
1ERE,53-19-0_min,EST_redock_1ERE,0.9313,6.4559,inf
1ERE,104-43-8_min,EST_redock_1ERE,0.9299,7.5436,inf
1ERE,521-18-6_min,EST_redock_1ERE,0.9282,7.3787,0.4442
1ERE,53905-28-5_min,EST_redock_1ERE,0.9261,6.5571,inf
1ERE,decoy265,EST_redock_1ERE,0.9253,6.5391,inf
1ERE,decoy206,EST_redock_1ERE,0.9205,6.2265,inf
1ERE,decoy1,EST_redock_1ERE,0.9190,6.5978,inf
1ERE,DES_min,EST_redock_1ERE,0.9186,7.5543,inf
1ERE,13037-86-0_min,EST_redock_1ERE,0.9182,6.3734,inf
1ERE,56-53-1_min,EST_redock_1ERE,0.9177,7.5454,inf
1ERE,decoy13,EST_redock_1ERE,0.9175,6.9067,inf
1ERE,decoy417,EST_redock_1ERE,0.9152,6.4357,inf
1ERE,decoy368,EST_redock_1ERE,0.9138,6.9993,inf
1ERE,decoy123,EST_redock_1ERE,0.9138,7.1782,inf
1ERE,28034-99-3_min,EST_redock_1ERE,0.9137,6.1467,inf
1ERE,77-40-7_min,EST_redock_1ERE,0.9124,6.6888,inf
1ERE,decoy434,EST_redock_1ERE,0.9082,6.3526,inf
1ERE,decoy236,EST_redock_1ERE,0.9038,6.0323,inf
1ERE,1085-12-7_min,EST_redock_1ERE,0.9008,6.4551,inf
1ERE,789-02-6_min,EST_redock_1ERE,0.9007,6.6846,inf
1ERE,1806-26-4_min,EST_redock_1ERE,0.8971,6.6699,inf
1ERE,decoy231,EST_redock_1ERE,0.8952,7.1074,inf
1ERE,decoy54,EST_redock_1ERE,0.8925,6.1496,inf
1ERE,6554-98-9_min,EST_redock_1ERE,0.8920,6.3658,inf
1ERE,103-16-2_min,EST_redock_1ERE,0.8914,6.0435,inf
1ERE,decoy397,EST_redock_1ERE,0.8908,6.4142,inf
1ERE,92-04-6_min,EST_redock_1ERE,0.8896,5.2883,inf
1ERE,decoy21,EST_redock_1ERE,0.8880,6.0953,inf
1ERE,99-76-3_min,EST_redock_1ERE,0.8879,4.6032,inf
1ERE,2529-64-8_min,EST_redock_1ERE,0.8877,6.4407,inf
1ERE,120-47-8_min,EST_redock_1ERE,0.8874,4.8733,inf
1ERE,58-72-0_min,EST_redock_1ERE,0.8870,5.9593,inf
1ERE,decoy34,EST_redock_1ERE,0.8870,6.5032,inf
1ERE,94-26-8_min,EST_redock_1ERE,0.8852,5.2733,inf
1ERE,27K_min,EST_redock_1ERE,0.8852,5.2733,inf
1ERE,decoy253,EST_redock_1ERE,0.8848,5.8795,inf
1ERE,80-46-6_min,EST_redock_1ERE,0.8839,5.6205,inf
1ERE,decoy128,EST_redock_1ERE,0.8823,6.3242,inf
1ERE,Testosterone_min,EST_redock_1ERE,0.8822,6.9683,0.7271
1ERE,98-54-4_min,EST_redock_1ERE,0.8822,5.1894,inf
1ERE,58-22-0_min,EST_redock_1ERE,0.8822,6.9683,0.7271
1ERE,decoy189,EST_redock_1ERE,0.8821,6.2720,inf
1ERE,decoy186,EST_redock_1ERE,0.8795,6.5991,inf
1ERE,123-07-9_min,EST_redock_1ERE,0.8793,4.2610,inf
1ERE,2OH_min,EST_redock_1ERE,0.8782,6.2405,inf
1ERE,80-05-7_min,EST_redock_1ERE,0.8782,6.2405,inf
1ERE,99-71-8_min,EST_redock_1ERE,0.8740,5.1988,inf
1ERE,decoy185,EST_redock_1ERE,0.8737,6.2371,inf
1ERE,decoy263,EST_redock_1ERE,0.8726,6.0128,inf
1ERE,659-22-3_min,EST_redock_1ERE,0.8713,6.5443,inf
1ERE,28463-03-8_min,EST_redock_1ERE,0.8655,6.8750,inf
1ERE,decoy269,EST_redock_1ERE,0.8620,6.2172,inf
1ERE,94-13-3_min,EST_redock_1ERE,0.8600,5.3115,inf
1ERE,decoy193,EST_redock_1ERE,0.8600,6.2257,inf
1ERE,decoy244,EST_redock_1ERE,0.8596,6.5165,inf
1ERE,decoy419,EST_redock_1ERE,0.8578,5.9354,inf
1ERE,decoy99,EST_redock_1ERE,0.8574,6.4043,inf
1ERE,decoy153,EST_redock_1ERE,0.8573,6.2288,inf
1ERE,decoy331,EST_redock_1ERE,0.8566,7.0808,inf
1ERE,131-56-6_min,EST_redock_1ERE,0.8562,5.4794,inf
1ERE,decoy375,EST_redock_1ERE,0.8556,6.5805,inf
1ERE,59-50-7_min,EST_redock_1ERE,0.8540,4.1616,inf
1ERE,84-17-3_min,EST_redock_1ERE,0.8523,7.1044,inf
1ERE,94-18-8_min,EST_redock_1ERE,0.8507,5.8085,inf
1ERE,decoy280,EST_redock_1ERE,0.8503,6.0548,inf
1ERE,decoy312,EST_redock_1ERE,0.8473,6.8914,inf
1ERE,decoy174,EST_redock_1ERE,0.8464,6.2389,inf
1ERE,243-17-4_min,EST_redock_1ERE,0.8459,5.2272,inf
1ERE,97-54-1_min,EST_redock_1ERE,0.8423,4.6527,inf
1ERE,92-69-3_min,EST_redock_1ERE,0.8411,4.9645,inf
1ERE,481-30-1_min,EST_redock_1ERE,0.8395,6.4449,0.8333
1ERE,decoy48,EST_redock_1ERE,0.8387,5.4793,inf
1ERE,218-01-9_min,EST_redock_1ERE,0.8375,5.2424,inf
1ERE,1570-64-5_min,EST_redock_1ERE,0.8374,3.9112,inf
1ERE,580-51-8_min,EST_redock_1ERE,0.8369,4.5434,inf
1ERE,decoy173,EST_redock_1ERE,0.8368,6.1234,inf
1ERE,decoy345,EST_redock_1ERE,0.8365,6.5811,inf
1ERE,decoy28,EST_redock_1ERE,0.8351,6.5031,inf
1ERE,94-25-7_min,EST_redock_1ERE,0.8333,4.6863,inf
1ERE,81-90-3_min,EST_redock_1ERE,0.8325,5.9983,inf
1ERE,decoy61,EST_redock_1ERE,0.8301,6.1713,inf
1ERE,6052-84-2_min,EST_redock_1ERE,0.8241,5.8580,inf
1ERE,decoy204,EST_redock_1ERE,0.8234,6.0083,inf
1ERE,decoy410,EST_redock_1ERE,0.8223,5.7098,inf
1ERE,decoy71,EST_redock_1ERE,0.8222,6.0942,inf
1ERE,decoy190,EST_redock_1ERE,0.8201,6.0973,inf
1ERE,decoy187,EST_redock_1ERE,0.8200,5.4663,inf
1ERE,1852-53-5_min,EST_redock_1ERE,0.8192,6.6631,0.8946
1ERE,80-09-1_min,EST_redock_1ERE,0.8174,5.4061,inf
1ERE,decoy94,EST_redock_1ERE,0.8164,6.1432,inf
1ERE,decoy155,EST_redock_1ERE,0.8147,6.2216,inf
1ERE,decoy411,EST_redock_1ERE,0.8131,5.5721,inf
1ERE,500-38-9_min,EST_redock_1ERE,0.8128,5.8924,inf
1ERE,85-68-7_min,EST_redock_1ERE,0.8123,4.9870,inf
1ERE,25154-52-3_min,EST_redock_1ERE,0.8121,5.6907,inf
1ERE,decoy213,EST_redock_1ERE,0.8120,6.0132,inf
